$0.02,Throwing in your two cents' worth
(message) received,phonetic alphabet code word for
-,
-fold,-násobný
-goer,pravidelný návštěvník
000,dosahovat výše 20 000 Kč
10-4 = ten-four,dobře
100-year flood,stoletá povodeň
10th,desátý
11th,jedenáctý
12th,dvanáctý
13th,třináctý
14th,čtrnáctý
15th,patnáctý
16th,šestnáctý
17th,sedmnáctý
18th,osmnáctý
19th,devatenáctý
1ftr,One for the road
1st,první
20th,dvacátý
24/7,dnem i nocí
24th,dvacátý čtvrtý
25th,dvacátý pátý
26th,dvacátý šestý
27th,dvacátý sedmý
28th,dvacátý osmý
29th,dvacátý devátý
2nd,druhý
2nite,dnešní noc
3-d,trojrozměrný
3rd,třetí
4th,čtvrtý
5th,pátý
6 am,6 hodin dopoledne
6th,šestý
7th,sedmý
8th,osmý
9th,devátý
a,jakýsi
a bit,trochu
a bit at sea,být nejistý
a bit like,trochu jako
a bit mental,neracionální
a bit much,trochu moc
a blessing in disguise,problém řešící jiný problém
a blowout,píchnutá pneumatika
a bone to pick,jablko sváru
a breath of fresh air,milá změna
a breath of wind,lehký vánek
a brief,soudní příkaz
a budding genius,geniální dítě
a budget surplus,rozpočtový přebytek
a bull in a china shop,slon v porcelánu
a bum rap,falešné obvinění
a bummer,přibližovací vozík
a bun in the oven,čekající dítě
a bunch of malarkey,kupa keců
a bundle of nerves,nervózní osoba
a capella singing,zpěv bez kapely
a cappella,bez kapely
a cappella singing,zpěv bez kapely
a case of,ukázka něčeho
a case off,vyztužit
a caution,opatrnost
a cheap drunk,"opilec, který toho moc nesnese"
a checkup,kontrola správnosti
a chicken in every pot,dost jídla pro všechny rodiny
a chin wag,nezávazná neformální konverzace
a chip off the old block,jako by mu z oka vypadl
a chip on one's shoulder,pocit křivdy
a chunk of change,hromada peněz
a clean bill of health,dobrý zdravotní stav
a cliff-hanger,napínavá hra
a close call,unik o vlas
a close shave,vyholení
a clutch hitter (baseball),první pálkující
a cold,rýma
a common thread,obvyklá zápletka
a contract out on,odměna na hlavu
a coon's age,dlouhá doba
a copy,kopie
a couple,pár
a couple of,dvojice
a crash course,kolizní kurz
a crush on,náhlý pocit lásky
a crying shame,velká škoda
a cut above,lepší výsledek
a cut-up,bavič
a dead certificate,úmrtní list
a dead giveaway,jasné znamení
a dead heat,velmi těsné vítězství
a dead loss,úplná ztráta
a dead ringer,velká podobnost
a dickens of a time,obtížný úkol
a dictionary,slovník
a different kettle of fish,jiný
a dime a dozen,velmi levný
a dog's age,10 až 15 let
a dog's breakfast,směsice různých věcí
a dog's life,psí život
a dog's sleep,lehký spánek
a downer (drug),sedativum
a downer (sadness),smutná událost
a drag,nuda
a dressing down,udělené kázání
a drop in the bucket,malá část
a dust-up,rvačka
a fair shake,uspokojivá náhrada
a falling out,hádka
a false move,špatný pohyb
a far cry,daleko
a faraway look,pohled do dáli
a fart in a windstorm,zbytečná snaha
a fat lip,rozbitá ústa
a feather in your cap,uznání za práci
a feeling,pocit
a few,několik
a few bricks short of a full load,nerozumný
a fifth wheel,nepotřebné zařízení
a fighting chance,férová šance
a fill-up,natankování paliva
a fine line,úzký vztah
a fine-toothed comb,detailní zkoumání
a firm hand,osoba usměrňující mravy
a flash in the pan,osoba nepracující stále dobře
a fleeting glance,zběžný pohled
a fly on the wall,chtít slyšet trávu růst
a fool and his money are soon parted,hýřil brzy nemá nic
a foregone conclusion,jasný výsledek
a fortiori,o to více
a free hand,výběr podle libosti
a free-for-all,rvačka
a freeze on,zastavení nějaké činnosti
a fresh pair of eyes,čtenář neznající knihu
a fresh start,nový život
a full house (cards),dvojice a trojice v pokeru
a full plate,plný talíř
a gaggle of geese,hejno husí
a game one,nekompromisní hráč
a ghost of a chance,mizivá šance
a glow on,lehce opilý
a go-getter,velmi pilný zaměstnanec
a going concern,všetečné dítě
a golden opportunity,dobrá šance
a goner,ztracená záležitost
a good arm,dobře házející hráč
a good deal,hodně
a good egg,milá osoba
a good head,milá osoba
a good many,velmi mnoho
a good mark,dobrý člověk
a good peny,poctivý chlap
a good sport,férová osoba
a good while,hezky dlouho
a grain of truth,zrnko pravdy
a great deal,o mnoho
a group people having approximately the same age,skupina lidí mající v průměru stejný věk
a handful,neposedné dítě
a handout,jídlo zdarma
a hard day,náročný den
a hard row to hoe,obtížný úkol
a hard time,nepříjemný čas
a hassle,problém
a head start,náskok v závodu
a heavy day,náročný den
a heavy hitter,silák
a heavy see,rozbouřené moře
a heavyweight,mocný člověk
a hell of a time,nádherný čas
a helping hand,pomocná ruka
a hill of beans,malé množství
a hit,dávka drog
a hollow leg,mít velký splávek
a holy pile,velké množství
a hoot,dobrá zábava
a horse of a different color,odlišná záležitost
a hot hand,šťastná ruka při hrách
a hot number,žhavé téma
a hot ticket,populární výrobek
a hot topic,žhavé téma
a hotdog,hráč pro obecenstvo
a hothead,cholerik
a hotshot,výtaha
a household name,jméno známé osobnosti
a howling blizzard,sněhová bouře
a humdinger,nádherný výrobek
a hundred,sto
a hundred and one,sto a jeden
a hundred thousand,sto tisíc
a hundred times,stokrát
a hungry belly has no ears,řečmi člověka nenasytíš
a jim dandy,nádherná věc
a kept woman,manželka za peníze
a la,ve stylu
a la carte,podle jídelníčku
a la king,vařené v bílé krémové omáčce se zeleninou
a la mode,podle poslední módy
a lady-killer,pohledný muž
a law,zákon
a leg up,první krok
a level playing field,vyrovnat šance na výhru
a lick and a promise,rychlý úklid
a lift,dobrý pocit
a line,čára
a little,trochu
a little bird told me,někdo mi řekl
a little bit,maličko
a little bit boring,kapku nudný
a little castle,hrádek
a little off,trochu bláznivý
a little steep,trochu drahý
a little thick,příliš chvály
a long shot,malá šance na výhru
a long time ago,dávno
a loose cannon,nevypočitatelný člověk
a losing streak,řada porážek
a lost cause,ztracený plán
a lot,hodně
a lot of,hodně
a lot of bunk,kupa lží
a lot of folderol,hromada nesmyslů
a lot of water,spousta vody
a lot of water has passed under the bridge,hodně vody uplynulo
a lot on the ball,inteligentní
a love tap,jemné postrčení
a lucky break,hodně štěstí
a lucky streak,řada výher
a major,a dur
a man of feeling,citový člověk
a man of few words,málomluvný člověk
a man of the cloth,farář
a man of worth,zasloužilý člověk
a man's home is his castle,pánův dům je jeho hrad
a marked man,známý zločinec
a matter,problém
a member,člen
a mental block,překážka v učení
a million,milion
a million times,mnohokrát
a month of sundays,mnoho dní
a must,nutná zkušenost
a nail-biter,napínavý pořad
a necktie party,lynčování
a new broom sweeps clean,nové koště dobře mete
a new lease on life,nový začátek
a newspaper kiosk,novinový stánek
a nice day,hezký den
a notch below,ne tak dobrý
a number of,řada
a nut case,blázen
a one,nejvyšší kvality
a pack of lies,hromada lží
a pain in the butt,osoba dělající problémy
a paltry sum,malé peníze
a paper trail,množství dokumentů
a part,část
a party to crime,pomoc při zločinu
a pat answer,plánovaná odpověď
a penny for your thoughts,řekni mi co si myslíš
a perfect stranger,úplný cizinec
a pick-me-up,životabudič
a picture,obrázek
a picture is worth a thousand words,obrázek sdělí více než text
a piece of cake,lehký úkol
a piece of my mind,mnou udělená kritika
a piece of news,novinářská zpráva
a piece of piss,lehký úkol
a piece of the action,podíl na kořisti
a pig in a poke,zajíc v pytli
a pinch of salt,špetka soli
a pinch to grow an inch,štípnutí oslavence narozenin
a pine float,párátko ve sklenici vody
a pity,škoda
a play on words,dvojsmyslná věta
a pocket of resistance,malá skupina odpůrců
a pop,za jednu osobu
a posteriori,ve smyslu
a pretty penny,hodně peněz
a priori,nezaložený na zkušenosti
a quarter to,tři čtvrtě na
a question of,důležitý faktor
a quick study,rychlé studium
a quickie,rychlý sex
a raw deal,nevýhodná smlouva
a red-letter day,zvláštní den
a redneck,netolerantní osoba
a regular guy,obyčejný člověk
a riot,velká legrace
a rip-off,příliš vysoká cena
a rival company,konkurenční firma
a rolling stone gathers no moss,přílišný neposeda
a rope,lano
a rough time,být škádlen ostatními
a rough time of it,stresující období
a royal pain,nepříjemný pocit
a run for your money,silná konkurence
a sack of hammers,těžký předmět
a sack of potatoes,pytel brambor
a sad sack,člověk nedotahující práci do konce
a sample of the cloth,vzorek látky
a scandal is brewing,mluví se o skandálu
a score to settle,nevyřízený účet
a screw loose,bláznivý
a send-up,zesměšnění
a shadow of his former self,být mnohem hubenější
a sharp tongue,ostrý jazyk
a sharp wit,vtipné poznámky
a shitload,velké množství
a shogun,mocný obchodník
a shoo-in,jasný vítěz
a short one,sklenka whisky
